year,GDD
1970,1338.32278479004
1971,1454.08781057129
1972,1236.09360876465
1973,1427.63921616211
1974,1207.96442668457
1975,1517.03801872558
1976,1421.30626210937
1977,1247.81127163086
1978,1231.65805881347
1979,1354.14564836426
1980,1206.6634701416
1981,1410.17938691406
1982,1642.88001804199
1983,1542.0758026123
1984,1295.45060644531
1985,1358.40128312988
1986,1312.14141384277
1987,1152.97389348145
1988,1478.70107226562
1989,1659.08022238769
1990,1517.22146242675
1991,1417.48499428711
1992,1635.95370776367
1993,1373.24898984375
1994,1547.97721416015
1995,1562.42973955078
1996,1290.65451501465
1997,1527.56095930176
1998,1361.00340085449
1999,1658.85743269042
2000,1532.08301113281
2001,1491.28606657714
2002,1635.26031442871
2003,1722.48965942383
2004,1465.6665960205
2005,1637.92689819335
2006,1900.49625722655
2007,1603.34963500976
2008,1587.88284018554
2009,1625.99044677734
2010,1460.1847399414
2011,1655.47738447265
2012,1548.09375732422
2013,1601.29517231445
2014,1765.85734960937
2015,1562.60248601074
2016,1744.83644589843
2017,1499.54582807617
2018,2140.14951726073
2019,1845.48330109863
2020,1711.08152734374
2021,1633.30120327148
2022,1795.47458806151
2023,1807.6914868164
2024,1921.59605090331
