Area,Year,Month,Secchi_m,Chla_mg_m3,Total_N,Total_P,SAL_PSU,SAL_SD,WT_Celsius,Months_highSAL
BAT,1970,5,0.733333333333333,,,3.36666666666667,,,11.2,0
BAT,1970,6,0.9,,,1.95,,,20.7333333333333,0
BAT,1970,7,0.866666666666667,,,1.91666666666667,,,18.1833333333333,0
BAT,1970,8,1.21666666666667,,,2.16666666666667,,,18.75,0
BAT,1970,9,0.974285714285714,,,3.2,,,14.7555555555556,0
BAT,1970,10,1,,,1.13333333333333,,,12.1333333333333,0
BAT,1970,11,0.666666666666667,,,3.03333333333333,,,8.66666666666667,0
BAT,1970,12,0.6,,,3.02,,,4.66666666666667,0
BAT,1971,2,0.85,,,3.8,6.75,2.47487373415292,2.4,2
BAT,1971,3,1.65,,,2.185,6.2,2.54558441227157,4.45,2
BAT,1971,4,1.1,,,1.885,4.75,1.90918830920368,9.95,2
BAT,1971,5,0.725,,,2.355,5.725,1.02102889283311,14.5,2
BAT,1971,6,0.55,,,4.645,5.5,1.26491106406735,15.55,2
BAT,1971,7,0.7,,,4.205,5.9,2.26274169979695,19.8,2
BAT,1971,8,0.9625,,,2.705,6.35,0.82663978450915,19.8,2
BAT,1971,9,1.88333333333333,,,2.0675,8.225,1.82094297915485,13.8,2
BAT,1971,10,1.15,,,2.39666666666667,9.125,3.95590276253938,11.3,2
BAT,1971,11,0.8,,,3.7575,10.175,1.48856754409511,4.375,2
BAT,1971,12,0.975,,,2.335,10.4,1.4142135623731,3.35,2
BAT,1972,1,,,,1.8,9.7,,-0.3,0
BAT,1972,4,0.7,,,6.68,8.56666666666667,1.59478316185409,7.53333333333333,0
BAT,1972,5,1.275,,,3.3525,8.6,0.648074069840786,9.625,0
BAT,1972,6,3.1,,,2.435,7,3.53553390593274,17.3,0
BAT,1972,7,0.9,,,2.95666666666667,6.9,1.46515073172239,21.8,0
BAT,1972,8,0.975,,,2.7575,7.075,1.85539753152795,18.325,0
BAT,1972,9,1.03333333333333,,,2.71666666666667,7.1,2.00748598998847,12.9,0
BAT,1972,10,1.0625,,,3.6025,6.825,1.26852933220587,9.075,0
BAT,1972,11,0.675,,,4.4375,8.225,2.23513608832512,4.45,0
BAT,1973,2,1.9,,118.025,1.8425,10.05,2.68141753555839,2.275,1
BAT,1973,3,2.1625,,79.675,1.7575,8.55,1.75594229214212,5.825,1
BAT,1973,4,,,49.8,4.88,8.8,,9,1
BAT,1973,5,1.1,,129,2.38,8.25,0.919238815542512,14.2,1
BAT,1973,6,0.5125,,209.5,4.07,7.775,1.12657297440808,17.825,1
BAT,1973,7,0.925,,149.925,2.83,8.825,1.27638813323639,19.075,1
BAT,1973,8,0.925,,86.6666666666667,2.86,9.075,0.953502316025854,18.325,1
BAT,1973,9,1.35,,79.4,2.655,9.3,1.00332779621949,14.9,1
BAT,1973,10,1.1625,,50.4,2.45,8.96,0.81117199162693,9.28,1
BAT,1973,11,1.3,,64.1,2.905,9.6,2.54558441227157,6.1,1
BAT,1974,1,1.18125,,,2.515,8.7625,2.04236382655001,2,0
BAT,1974,2,1.38181818181818,,,3.68818181818182,7.775,1.73316578444292,3,0
BAT,1974,3,0.575,,181.2,3.8,6.8,1.19498953970317,2.76666666666667,0
BAT,1974,4,1.1125,,,4.1775,6.3125,1.21118301082631,9.2625,0
BAT,1974,5,0.45,,,6.09,6.05,0.0707106781186545,15.2,0
BAT,1974,6,0.8125,,14.5,3.828,9.8625,2.76608929718475,16.4375,0
BAT,1974,7,1.0875,,141,3.95,9.40909090909091,0.630007214965901,17.4,0
BAT,1974,8,1.0375,,224,3.415,9.48333333333333,0.57970734518428,18.1666666666667,0
BAT,1974,9,1.75,,,3.03333333333333,8.8,0.692820323027551,15.9,0
BAT,1974,10,1.385,,,2.87,8.59,0.763689873065122,8.43,0
BAT,1974,11,0.7,,98.4,2.6925,7.375,1.09511904114836,5.875,0
BAT,1974,12,1,,,2.93,7.475,1.29711217710728,4.375,0
BAT,1975,1,0.833333333333333,,,1.72333333333333,8.33333333333333,1.15902257671425,3.76666666666667,0
BAT,1975,2,1.11666666666667,,,2.02416666666667,7.01666666666667,1.48783959708924,2.13333333333333,0
BAT,1975,3,1.24,,,2.168,6.88,1.17770964163498,3.48,0
BAT,1975,4,0.788888888888889,,,4.14111111111111,5.57777777777778,1.58017228315284,6.43333333333333,0
BAT,1975,5,0.75,,,4.84333333333333,6.3,1.67032930884901,11.6666666666667,0
BAT,1975,6,0.675,,,4.635,7.13333333333333,1.25645002553491,15.9166666666667,0
BAT,1975,7,0.75,,,3.51166666666667,7.83333333333333,1.09117673484485,20.3666666666667,0
BAT,1975,8,0.625,,,4.3325,7.325,0.9322910847298,18.65,0
BAT,1975,9,0.816666666666667,,,1.85333333333333,7.98333333333333,0.545588367422425,18.0166666666667,0
BAT,1975,10,0.875,,,3.085,9.25,2.61591284258478,8.28333333333333,0
BAT,1975,11,1.05833333333333,,,2.12666666666667,8.7,0.456070170039656,2.73333333333333,0
BAT,1975,12,0.566666666666667,,,2.415,8.93333333333333,0.642910050732864,3.96666666666667,0
BAT,1976,1,1.13333333333333,,,0.881,13.6666666666667,1.35006172698387,0.0333333333333333,1
BAT,1976,3,0.75,,,1.17166666666667,9.86666666666667,0.0577350269189624,0.333333333333333,1
BAT,1976,4,1.4,,,1.14416666666667,9.06666666666667,1.00332779621949,7.21666666666667,1
BAT,1976,5,1.01666666666667,,,1.46583333333333,8.78333333333333,0.893121865518176,13.9,1
BAT,1976,6,0.666666666666667,,,2.24666666666667,8.96666666666667,0.850490054811538,15,1
BAT,1976,7,1.01666666666667,,,1.85916666666667,9.96666666666667,0.413118223595458,22.8,1
BAT,1976,8,1.03333333333333,,,1.435,9.7,0.576194411635518,17.15,1
BAT,1976,9,1.26666666666667,,,2.09166666666667,9.73333333333333,1.05039675043925,12.9333333333333,1
BAT,1976,10,1.63333333333333,,,2.16583333333333,8.5,0.521536192416212,9.41666666666667,1
BAT,1976,11,1.71666666666667,,,2.01083333333333,8.63333333333333,0.818942407417437,4.43333333333333,1
BAT,1976,12,1.46666666666667,,,1.255,9.73333333333333,1.00664459136943,2.13333333333333,1
BAT,1977,3,0.8,,,2.57833333333333,6.66666666666667,0.838649708360608,5.83333333333333,1
BAT,1977,4,0.783333333333333,,,2.28583333333333,7.7,1.98595065396903,4.98333333333333,1
BAT,1977,5,0.5,,,2.65833333333333,7.4,1.3,13.6,1
BAT,1977,6,0.533333333333333,,,4.04916666666667,7.53333333333333,0.640832791503889,17.05,1
BAT,1977,7,0.966666666666667,,,3.00416666666667,8.41666666666667,0.371034589582517,17.3,1
BAT,1977,8,0.675,,,3.45666666666667,8.03333333333333,0.508592829940284,16.7,1
BAT,1977,9,0.8,,,3.13,7.1,0.692820323027551,17.7666666666667,1
BAT,1977,10,1,,,1.81583333333333,8.3,0.864869932417586,10.9833333333333,1
BAT,1977,11,0.941666666666667,,,2.80416666666667,8.48333333333333,1.43166569654604,5.91666666666667,1
BAT,1977,12,1.4,,,2.05,10.2,1.83303027798234,2.33333333333333,1
