fish_ID;CNS_complete;age;comment;Tele
BH-00554;1;;;
BH-00555;1;;;
BH-00560;1;;;
BH-00561;1;;;
BH-00680;1;;;
BH-00682;1;;;
BH-00683;1;;;
BH-00684;1;;;
BH-00686;1;;;
BH-00687;1;;;
BH-00688;1;;;
BH-00690;1;;;
BH-00691;1;;;
BH-00692;1;;;
BH-00693;1;;;
BH-00694;1;;;
BH-00695;1;;;
BH-00697;1;;;
BH-00699;1;;;
BH-00700;1;;;
BH-00997;1;;;
BH-01551;1;;;
BH-01552;1;;;
BH-01553;1;;;
BH-01554;1;;;
BH-01557;1;;;
BH-01558;1;;;
BH-01559;1;;;
BH-01561;1;;;
BH-01562;1;;;
BH-01563;1;;;
BH-01564;1;;;
BH-01565;1;;;
BH-01566;1;;;
BH-01568;1;;;
BH-01572;1;;;
BH-01573;1;;;
BH-01574;1;;;
BH-01575;1;;;
BH-01577;1;;;
BH-01578;1;;;
BH-01579;1;;;
BH-01581;1;;;
BH-01583;1;;;
BH-01584;1;;;
BH-01586;1;;;
BH-01589;1;;;
BH-01590;1;;;
BH-01592;1;;;
BH-01597;1;;;
BH-01599;1;;;
BH-01601;1;;;
BH-01701;1;;;
BH-01705;1;;;
BH-01709;1;;;
BH-01715;1;;;
BH-01724;1;;;
BH-01734;1;;;
BH-01739;1;;;
BH-01740;1;;;
BH-01746;1;;;
BH-01749;1;;;
BH-01752;1;;;
BH-01753;1;;;
BH-01755;1;;;
BH-01756;1;;;
BH-01759;1;;;
BH-01760;1;;;
BH-01761;1;;;
BH-01763;1;;;
BH-01764;1;;;
BH-01779;1;;;
BH-01781;1;;;
BH-01783;1;;;
BH-01787;1;;;
BH-01797;1;;;
BH-01804;1;;;
BH-01805;1;;;
BH-01806;1;;;
BH-01810;1;;;
BH-01811;1;;;
BH-01813;1;;;
BH-01816;1;;;
BH-01818;1;;;
BH-01821;1;;;
BH-01824;1;;;
BH-01825;1;;;
BH-01828;1;;;
BH-01837;1;;;
BH-01838;1;;;
BH-01839;1;;;
BH-01841;1;;;
BH-01842;1;;;
BH-01845;1;;;
BH-01848;1;;;
BH-01851;1;;;
BH-01856;1;;;
BH-01859;1;;;
BH-01862;1;;;
BH-01863;1;;;
BH-01871;1;;;
BH-01872;1;;;
BH-01880;1;;;
BH-01881;1;;;
BH-01884;1;;;
BH-01886;1;;;
BH-01887;1;;;
BH-01888;1;;;
BH-01890;1;;;
BH-01894;1;;;
BH-90006;1;;;Yes
BH-90007;1;;;Yes
BH-90008;1;;;Yes
BH-90010;1;;;Yes
BH-90013;1;;;Yes
BH-90021;1;;;Yes
BH-90023;1;;;Yes
BH-90025;1;;;Yes
BH-90029;1;;;Yes
BH-90030;1;;;Yes
BH-90031;1;;;Yes
BH-90034;1;;;Yes
BH-90036;1;;;Yes
BH-90039;1;;;Yes
BH-90041;1;;;Yes
BH-90049;1;;;
BH-90054;1;;;Yes
BH-90056;1;;;Yes
BH-90057;1;;;Yes
BH-90059;1;;;Yes
BH-90060;1;;;Yes
BH-90061;1;;;Yes
BH-90065;1;;;Yes
BH-90067;1;;;Yes
BH-90068;1;;;Yes
BH-90069;1;;;Yes
BH-90070;1;;;Yes
BH-90138;1;;;Yes
BH-90240;1;;;Yes
BH-90254;1;;;Yes
BH-90255;1;;;Yes
BH-90259;1;;;Yes
BH-90273;1;;;Yes
BH-90292;1;;;Yes
BH-90300;1;;;Yes
BH-90330;1;;;Yes
BH-90356;1;;;
BH-90402;1;;;Yes
BH-90414;1;;;Yes
BH-90417;1;;;Yes
BH-90419;1;;;Yes
BH-90430;1;;;Yes
BH-90434;1;;;Yes
BH-90435;1;;;Yes
BH-90436;1;;;Yes
BH-90459;1;;;Yes
BH-90543;1;;;
BH-90737;1;;;Yes
BH-90752;1;;;Yes
BH-90756;1;;;Yes
BH-90759;1;;;
BH-90773;1;;;Yes
BH-90783;1;;;Yes
BH-90794;1;;;Yes
BH-90853;1;;;Yes
BH-90855;1;;;Yes
BH-90882;1;;;Yes
BH-90886;1;;;Yes
BH-90895;1;;;Yes
BH-90896;1;;;Yes
BH-90902;1;;;Yes
BH-90907;1;;;Yes
BH-90911;1;;;Yes
BH-90913;1;;;
BH-90917;1;;;Yes
BH-90921;1;;;Yes
BH-90922;1;;;
BH-90933;1;;;Yes
BH-90945;1;;;Yes
BH-90953;1;;;
BH-90955;1;;;Yes
BH-90973;1;;;Yes
BH-90978;1;;;
BH-91002;1;;;Yes
BH-91028;1;;;Yes
BH-91030;1;;;Yes
BH-91037;1;;;
BH-91048;1;;;Yes
BH-91064;1;;;Yes
BH-91072;1;;;Yes
BH-91099;1;;;Yes
BH-91130;1;;;Yes
BH-91131;1;;;Yes
BH-91132;1;;;Yes
BH-91139;1;;;Yes
BH-91140;1;;;Yes
BH-91156;1;;;Yes
BH-91168;1;;;Yes
BH-91179;1;;;Yes
BH-91181;1;;;Yes
BH-91186;1;;;Yes
BH-91189;1;;;Yes
BH-91190;1;;;Yes
BH-91191;1;;;Yes
BH-91196;1;;;Yes
BH-91200;1;;;
BH-91395;1;;;
BH-91403;1;;;
BH-91410;1;;;
BH-91413;1;;;
BH-91415;1;;;
BH-91423;1;;;
BH-91424;1;;;
BH-91427;1;;;
BH-91430;1;;;
BH-91437;1;;;
BH-93006;1;;;
BH-93190;1;;;
