Tuete;Jahr;Stapel;Stapel Info;Tuetchen;Datum ;Fundort; Tuetchen Info;Menge an Schuppen ;Kernbodden;Boddenkette;Unklarheiten
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";1;31.03.81;Born;"El 2; Born 31.3.81 / 625 / 45 / 38,5; H = 18,0; Männlich 4= 17,0; F=3; M=0";Wenig;Saaler Bodden;Darß-Zingster Bodden;Evenutell mesohaliner Barther Bodden
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";2;31.03.81;Born;"Born / 3103.81; El 1; 3855/ 2460; 76/ 66,5 a; Weiblich 4= 1230g; H= 76,0; F=1; M= 0";Viel;Saaler Bodden;Darß-Zingster Bodden;Evenutell mesohaliner Barther Bodden
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";3;13.04.81;/;"Link 12; Hecht; 13.04.81; 1; Lt= 93,0; (lilli)";Mitel;Saaler Bodden;Darß-Zingster Bodden;Evenutell mesohaliner Barther Bodden
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";4;13.04.81;/;"Hecht; 13.04.81; 2; Lt= 84,0";Wenig;Saaler Bodden;Darß-Zingster Bodden;Evenutell mesohaliner Barther Bodden
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";5;14.04.81;/;"Hecht; Kl. Zicker; 14.4.81; Länge 0,92 m; Gew. 6,5 kg";Mittel;Saaler Bodden;Darß-Zingster Bodden;"Evenutell mesohaliner Barther Bodden; Zicker = Zickersee (das wäre Greifswalder Bodden)"
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";6;14.04.81;/ ;"Hecht; KI. Zicker; 14.4.81; Länge 1,20 m; Gew. 17,5 kg";Wenig;Saaler Bodden;Darß-Zingster Bodden;"Evenutell mesohaliner Barther Bodden; Zicker = Zickersee (das wäre Greifswalder Bodden)"
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";7;14.04.81;/ ;"Hecht; KI Zicker; 14.04.81; Länge 0,93 m; Gew. 6,5 kg";Wenig;Saaler Bodden;Darß-Zingster Bodden;"Evenutell mesohaliner Barther Bodden; Zicker = Zickersee (das wäre Greifswalder Bodden)"
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";8;14.04.81;/;"Hecht; KI.  Zicker; 14.04.81; Länge 0,85 m; Gew. 5,5 kg";Mittel;Saaler Bodden;Darß-Zingster Bodden;"Evenutell mesohaliner Barther Bodden; Zicker = Zickersee (das wäre Greifswalder Bodden)"
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";9;14.04.81;/;"Hecht; KI. Zicker; 14.04.81; Länge 0,93 m; Gew. 7 kg";Mittel;Saaler Bodden;Darß-Zingster Bodden;"Evenutell mesohaliner Barther Bodden; Zicker = Zickersee (das wäre Greifswalder Bodden)"
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";10;23.03.81;Grabow;"Grabow; 23.3.87; 120 cm; El. I.";Viel;Grabow/Barther Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";11;23.03.81;Grabow;"23.03.81; El 92; Grabow";Viel;Grabow/Barther Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";12;23.03.81;Grabow;"23.03.81; El; Grabow; S=1; 115 cm; 09.50.81";Viel;Grabow/Barther Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";13;23.03.81;Grabow;"El 56; 23.03.81";Mittel;Grabow/Barther Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";14;23.03.81;Grabow;"El 50; 23.03.81";Mittel;Grabow/Barther Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";15;23.03.81;Grabow;"El = 52 c; 23.03.81";Mittel;Grabow/Barther Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";16;23.03.81;Grabow;"El = 55; 23.03.81";Mittel;Grabow/Barther Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";17;23.03.81;Grabow;"El 50; 23.03.81";Mittel;Grabow/Barther Bodden;Darß-Zingster Bodden;
3;"1980; 1981; 1982; 1983";1;"Born 22.04.81 n=13; Born 31.03.81 n=2; 03.05.81 n= 6 LT; Breege 09.04.81 n=2 LT, LS; Grabow 23.03.81 n ea > 92 LT";18;23.03.81;Grabow;"El = 48,5; 23.03.81";Viel;Grabow/Barther Bodden;Darß-Zingster Bodden;
