ID,Species,capt_date,SL_mm,SL_size_class,sex,weight_g,height_mm,sample_type,area,Long,Lat,d15N,d13C,d34S,CN_ratio,comment1,comment2
BH-00554,E.lucius,2019-11-02,670,,f,,,Muscle,Freshwater,,,16.48,-22.11,7.08333333333333,3.26640431483753,|,
BH-00555,E.lucius,2019-10-31,670,,f,,,Muscle,Freshwater,,,17.8033333333333,-21.5933333333333,9.11,3.27883096487251,|,
BH-00560,E.lucius,2020-06-23,680,,m,,,Muscle,P,,,17.0466666666667,-21.4133333333333,7.34,3.24502268037121,|,
BH-00561,E.lucius,,690,,f,,,Muscle,Freshwater,,,16.5466666666667,-21.4766666666667,8.29333333333333,3.20080549090167,|,
BH-00680,E.lucius,,720,,m,,,Muscle,NRB,,,14.7033333333333,-16.8733333333333,10.02,3.28788841117911,|,
BH-00681,E.lucius,,630,,m,,,Muscle,NRB,,,14.51,-17.22,9.44333333333333,3.26600345469672,|,
BH-00682,E.lucius,,570,,m,,,Muscle,NRB,,,13.36,-15.0333333333333,7.89666666666667,3.26536651124096,|,
BH-00683,E.lucius,,550,,f,,,Muscle,KJB,,,15.32,-17.9133333333333,2.67333333333333,3.22444341981942,|,
BH-00684,E.lucius,,750,,m,,,Muscle,DZB,,,16.3166666666667,-18.4533333333333,7.33666666666667,3.26196993246191,|,
BH-00685,E.lucius,,720,,m,,,Muscle,NRB,,,14.71,-16.7633333333333,9.62666666666667,3.25882750201226,|,
BH-00686,E.lucius,,840,,f,,,Muscle,DZB,,,16.4466666666667,-19.5066666666667,10.1266666666667,3.00244147824469,|,
BH-00687,E.lucius,2020-02-28,710,,m,,,Muscle,NRB,,,14.76,-16.02,10.0233333333333,3.09827464993255,|,
BH-00688,E.lucius,,890,,f,,,Muscle,DZB,,,15.8633333333333,-18.3066666666667,9.71,3.26609392606285,|,
BH-00689,E.lucius,,600,,m,,,Muscle,NRB,,,12.85,-17.39,12.2266666666667,3.04267403144684,|,
BH-00690,E.lucius,,590,,m,,,Muscle,NRB,,,14.3466666666667,-17.4066666666667,11.3966666666667,3.22259969431302,|,
BH-00691,E.lucius,,620,,f,,,Muscle,NRB,,,12.9833333333333,-17.3666666666667,12.0166666666667,3.05081989899909,|,
BH-00692,E.lucius,,690,,m,,,Muscle,NRB,,,14.2633333333333,-16.5333333333333,11.9366666666667,3.13942728395168,|,
BH-00693,E.lucius,,660,,f,,,Muscle,NRB,,,13.9633333333333,-16.49,11.26,3.1936095053603,|,
BH-00694,E.lucius,,590,,m,,,Muscle,NRB,,,14.35,-16.1266666666667,11.2533333333333,3.18628620751992,|,
BH-00695,E.lucius,,620,,m,,,Muscle,NRB,,,13.9033333333333,-16.4766666666667,11.56,3.17217260436303,|,
BH-00696,E.lucius,,790,,f,,,Muscle,NRB,,,13.7733333333333,-16.6533333333333,11.8466666666667,3.03390485873292,|,
BH-00697,E.lucius,,760,,m,,,Muscle,NRB,,,14.7933333333333,-17.06,9.24333333333333,3.29900583351942,|,
BH-00699,E.lucius,,590,,f,,,Muscle,NRB,,,15.2033333333333,-19.13,6.715,3.05997957613427,|,
BH-00700,E.lucius,,1160,,f,,,Muscle,DZB,,,16.2533333333333,-19.16,13.33,2.97592873212203,|,
BH-00997,E.lucius,2021-03-13,1065,,f,9944,,Muscle,P,,,17.0366666666667,-21.8033333333333,10.53,3.12920843063362,|,
BH-01551,E.lucius,,870,,f,,,Muscle,DZB,,,16.2366666666667,-18.7366666666667,13.0033333333333,3.11285581112783,|,
BH-01552,E.lucius,,850,,m,,,Muscle,DZB,,,15.8466666666667,-19.36,11.6833333333333,3.05769265205855,|,
BH-01553,E.lucius,2020-02-08,770,,f,,,Muscle,NRB,,,16.3566666666667,-19.1966666666667,9.705,2.97676078692768,|,
BH-01554,E.lucius,2020-02-08,690,,f,,,Muscle,NRB,,,17.2033333333333,-18.2333333333333,6.45666666666667,3.17298887156458,|,
BH-01555,E.lucius,2020-02-08,760,,f,,,Muscle,NRB,,,15.8866666666667,-17.0933333333333,9.87,3.21728315861112,|,
BH-01556,E.lucius,2020-02-08,1110,,f,,,Muscle,NRB,,,16.965,-18.7025,10.19,3.21654761391611,|,
BH-01557,E.lucius,2020-02-08,920,,f,,,Muscle,DZB,,,16.1375,-18.3425,10.815,3.09235078431402,|,
BH-01558,E.lucius,2020-02-08,740,,f,,,Muscle,NRB,,,16.57,-18.66,10.9625,3.12956773560415,|,
BH-01559,E.lucius,2020-02-08,690,,f,,,Muscle,NRB,,,16.67,-18.57,9.51,3.05657527337504,|,
BH-01560,E.lucius,2020-02-08,820,,f,,,Muscle,NRB,,,16.0833333333333,-18.4466666666667,9.61,2.97945353260427,|,
BH-01561,E.lucius,2020-02-08,680,,f,,,Muscle,NRB,,,15.9933333333333,-19.19,9.68666666666667,3.04038125273766,|,
BH-01562,E.lucius,2020-02-08,680,,f,,,Muscle,NRB,,,17.8166666666667,-17.4266666666667,7.56333333333333,3.2282062440379,|,
BH-01563,E.lucius,,740,,m,,,Muscle,NRB,,,16.0266666666667,-18.6833333333333,11.0866666666667,3.05903349598391,|,
