Fish_ID,Oldenburg_ID,Sex_molecular
,1-1-1,f
,1-1-2,f
,1-1-3,m
,1-1-4,m
,1-1-5,f
,1-1-6,f
,1-1-7,m
,1-1-8,f
,1-2-1,f
,1-2-2,f
,1-2-3,f
,1-2-4,f
,1-2-6,m
,1-2-7,f
,1-2-8,f
,1-3-2,f
,1-3-3,f
,1-3-5,m
,1-3-6,m
,1-3-7,m
,1-3-8,f
,1-4-1,m
,1-4-2,m
,1-4-4,m
,1-5-1,f
,1-5-2,f
,1-6-1,f
,1-6-10,f
,1-6-11,f
,1-6-12,f
,1-6-4,f
,1-6-5,f
,1-6-6,f
,1-6-8,f
,1-6-9,m
,2-1-1,f
,2-1-12,f
,2-1-14,m
,2-1-15,m
,2-1-16,f
,2-1-17,m
,2-1-18,f
,2-1-19,f
,2-1-2,f
,2-1-21,f
,2-1-3,m
,2-1-4,m
,2-1-5,m
,2-1-6,f
,2-1-7,m
,2-1-8,m
,2-2-1,f
,2-2-10,f
,2-2-11,f
,2-2-12,f
,2-2-14,f
,2-2-15,f
,2-2-16,f
,2-2-17,f
,2-2-18,f
,2-2-2,f
,2-2-21,m
,2-2-22,f
,2-2-23,f
,2-2-24,m
,2-2-25,m
,2-2-26,m
,2-2-29,m
,2-2-3,f
,2-2-30,f
,2-2-32,f
,2-2-33,m
,2-2-34,f
,2-2-36,f
,2-2-37,m
,2-2-5,f
,2-2-6,f
,2-2-8,f
,2-2-9,f
,2-3-12,f
,2-3-14,f
,2-3-18,f
,2-3-19,f
,2-3-2,f
,2-3-20,f
,2-3-21,f
,2-3-22,f
,2-3-23,f
,2-3-24,f
,2-3-25,f
,2-3-3,f
,2-3-6,f
,2-3-7,f
,2-3-8,m
,2-4-1,m
,2-4-2,m
,2-4-3,m
,2-4-5,f
,2-4-6,f
,2-4-7,f
,2-4-8,f
,3-1-1,m
,3-1-110,f
,3-1-111,m
,3-1-112,m
,3-1-113,f
,3-1-114,f
,3-1-20,f
,3-1-24,m
,3-1-25,f
,3-1-28,f
,3-1-44,m
,3-1-63,m
,3-1-83,m
,3-1-85,m
,3-1-90,m
,3-1-91,m
,3-1-98,f
,3-2-10,f
,3-2-115,f
,3-2-128,m
,3-2-138,f
,3-2-139,f
,3-2-143,f
,3-2-147,f
,3-2-150,m
,3-2-158,f
,3-2-159,f
,3-2-160,f
,3-2-163,f
,3-2-165,f
,3-2-166,f
,3-2-169,f
,3-2-19,f
,3-2-33,m
,3-2-6,f
,3-2-64,f
,3-2-66,m
,3-2-67,m
,3-2-71,f
,3-2-73,m
,3-2-74,f
,3-2-8,f
,3-2-9,f
,3-2-93,f
,3-2-94,m
,3-3-15,f
,3-3-43,f
