Fish_ID,Oldenburg_ID,Sex_molecular
BH-80115,3-1-101,
BH-80117,3-1-103,
BH-80119,3-1-105,
BH-80122,3-1-108,
BH-80098,3-1-15,
BH-80102,3-1-19,
BH-80044,3-1-36,
BH-80053,3-1-47,
BH-80057,3-1-51,
BH-80064,3-1-58,
BH-80066,3-1-60,
BH-80071,3-1-67,
BH-80076,3-1-72,
BH-80078,3-1-74,
BH-80079,3-1-75,
BH-80086,3-1-80,
BH-80089,3-1-86,
BH-80130,3-1-93,
BH-80272,3-2-1,
BH-80257,3-2-101,
BH-80262,3-2-106,
BH-80263,3-2-107,
BH-80264,3-2-108,
BH-80204,3-2-113,
BH-80211,3-2-121,
BH-80158,3-2-132,
BH-80163,3-2-138_1,
BH-80164,3-2-138_2,
BH-80172,3-2-145,
BH-80192,3-2-23,
BH-80215,3-2-32,
BH-80217,3-2-34,
BH-80218,3-2-35,
BH-80219,3-2-36,
BH-80220,3-2-37,
BH-80222,3-2-39,
BH-80226,3-2-43,
BH-80182,3-2-58,
BH-80184,3-2-60,
BH-80185,3-2-61,
BH-80245,3-2-77,
BH-80250,3-2-82,
BH-80268,3-2-92,
BH-80270,3-2-96,
BH-80023,3-3-10,
BH-80166,3-3-158,
BH-80167,3-3-159,
BH-80001,3-3-28,
BH-80003,3-3-29,
BH-80004,3-3-30,
BH-80006,3-3-32,
BH-80007,3-3-33,
BH-80009,3-3-35,
BH-80011,3-3-37,
BH-80012,3-3-38,
BH-80013,3-3-39,
BH-80031,3-3-41,
BH-80033,3-3-46,
BH-80440,4-1-106,
BH-80319,4-1-114,
BH-80352,4-1-12,
BH-80475,4-1-140,
BH-80483,4-1-161,
BH-80481,4-1-163,
BH-80381,4-1-185,
BH-80471,4-1-188,
BH-80337,4-1-193,
BH-80335,4-1-195,
BH-80334,4-1-196,
BH-80327,4-1-203,
BH-80325,4-1-205,
BH-80431,4-1-212,
BH-80427,4-1-216,
BH-80464,4-1-41,
BH-80497,4-1-60,
BH-80400,4-1-63,
BH-80417,4-1-80,
